Hot Path Predicted,Error Rate,Error Avg,Error Std
True,0.125,1.2083333333333333,3.201290972231185
True,0.4166666666666667,2.5833333333333335,4.112143263825109
True,0.4166666666666667,3.7083333333333335,4.7123876349704314
False,0.375,3.5,4.527692569068709
True,0.25,2.4583333333333335,4.262033617365724
True,0.25,1.2916666666666667,3.0615786595952237
True,0.16666666666666666,1.2083333333333333,3.0819253542045577
True,0.5416666666666666,3.8333333333333335,4.624812308503869
True,0.16666666666666666,1.2083333333333333,3.0819253542045577
True,0.125,1.2083333333333333,3.201290972231185
True,0.375,2.5416666666666665,4.132988896939142
True,0.5,3.7916666666666665,4.654560189271975
True,0.16666666666666666,1.2083333333333333,3.0819253542045577
True,0.16666666666666666,1.2083333333333333,3.0819253542045577
True,0.375,3.7083333333333335,4.791304334126796
True,0.125,1.25,3.307189138830738
True,0.125,1.2083333333333333,3.201290972231185
True,0.375,3.7083333333333335,4.791304334126796
True,0.2916666666666667,1.3333333333333333,3.050500869620521
True,0.2916666666666667,2.4583333333333335,4.17312000253474
True,0.16666666666666666,1.2083333333333333,3.0819253542045577
True,0.125,1.25,3.307189138830738
True,0.16666666666666666,1.2083333333333333,3.0819253542045577
True,0.08333333333333333,0.08333333333333333,0.2763853991962833
True,0.2916666666666667,2.4583333333333335,4.17312000253474
True,0.2916666666666667,2.4583333333333335,4.17312000253474
True,0.2916666666666667,2.4583333333333335,4.17312000253474
True,0.2916666666666667,1.3333333333333333,3.050500869620521
True,0.2916666666666667,2.4583333333333335,4.17312000253474
True,0.2916666666666667,2.4583333333333335,4.17312000253474
True,0.375,3.7083333333333335,4.791304334126796
True,0.5416666666666666,3.8333333333333335,4.624812308503869
True,0.25,1.2916666666666667,3.0615786595952237
False,0.375,3.625,4.688749833377763
True,0.125,1.2083333333333333,3.201290972231185
True,0.16666666666666666,1.2083333333333333,3.0819253542045577
True,0.375,3.7083333333333335,4.791304334126796
True,0.2916666666666667,1.7083333333333333,3.5056997241001056
True,0.375,3.7083333333333335,4.791304334126796
True,0.16666666666666666,1.2083333333333333,3.0819253542045577
