Hot Path Predicted,Error Rate,Error Avg,Error Std
True,0.041666666666666664,0.041666666666666664,0.19982631347136334
True,0.08333333333333333,0.08333333333333333,0.2763853991962833
True,0.041666666666666664,0.041666666666666664,0.19982631347136334
True,0.0,0.0,0.0
True,0.125,0.125,0.33071891388307384
True,0.25,0.25,0.4330127018922193
True,0.25,0.25,0.4330127018922193
True,0.20833333333333334,0.20833333333333334,0.4061164310337068
True,0.0,0.0,0.0
True,0.125,0.125,0.33071891388307384
True,0.0,0.0,0.0
True,0.125,0.125,0.33071891388307384
True,0.08333333333333333,0.08333333333333333,0.2763853991962833
False,0.20833333333333334,0.20833333333333334,0.4061164310337068
True,0.20833333333333334,0.20833333333333334,0.4061164310337068
True,0.0,0.0,0.0
True,0.125,0.125,0.33071891388307384
True,0.125,0.125,0.33071891388307384
True,0.041666666666666664,0.041666666666666664,0.19982631347136334
True,0.125,0.125,0.33071891388307384
True,0.041666666666666664,0.041666666666666664,0.19982631347136334
True,0.125,0.125,0.33071891388307384
True,0.125,0.125,0.33071891388307384
True,0.125,0.125,0.33071891388307384
True,0.125,0.125,0.33071891388307384
True,0.0,0.0,0.0
True,0.16666666666666666,0.16666666666666666,0.372677996249965
True,0.041666666666666664,0.041666666666666664,0.19982631347136334
True,0.125,0.125,0.33071891388307384
False,0.25,0.25,0.4330127018922193
True,0.041666666666666664,0.041666666666666664,0.19982631347136334
True,0.08333333333333333,0.08333333333333333,0.2763853991962833
True,0.125,0.125,0.33071891388307384
True,0.041666666666666664,0.041666666666666664,0.19982631347136334
True,0.25,0.25,0.4330127018922193
True,0.08333333333333333,0.08333333333333333,0.2763853991962833
True,0.041666666666666664,0.041666666666666664,0.19982631347136334
False,0.16666666666666666,0.16666666666666666,0.372677996249965
True,0.041666666666666664,0.041666666666666664,0.19982631347136334
False,0.16666666666666666,0.16666666666666666,0.372677996249965
